age,gender,height_cm,weight_kg,body_fat_percent,diastolic,systolic,grip_force,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,class
21,1,159.5,51.3,0.358,80,122,16.6,2.1,5,105,D
56,0,166.7,56.9,0.165,90,147,41.6,17.8,30,198,B
24,0,164.4,66.2,0.171,63,110,40.2,16.2,43,232,C
58,1,146.5,46.4,0.329,71,127,18.7,17.4,20,111,C
42,0,174.1,103.1,0.305,78,123,50.7,3.6,25,153,D
45,0,185.4,80,0.219,93,144,46.2,7.1,22,205,D
37,0,168.9,78.8,0.234,88,144,42.1,20.9,47,241,C
31,0,175.3,83.6,0.301,93,152,45.9,7.2,55,193,D
43,1,164,50.8,0.224,88,124,24,13.5,28,160,C
23,1,162.4,58.9,0.296,71,119,28.1,25.5,48,178,A
59,1,165,63.7,0.314,77,120,20.8,25.5,30,120,B
63,0,166.6,75.5,0.316,62,122,34.1,6.7,17,140,D
40,0,174.2,77.6,0.178,85,133,49.5,12.1,48,213,B
27,1,150.5,55.7,0.396,66,114,29.7,13.4,23,159,D
56,1,160.2,62.4,0.333,67,103,28.8,20.7,15,133,B
35,0,179,75,0.107,74,129,47.7,16.6,54,233,A
30,0,172.7,78,0.266,79,140,36.9,3.4,25,218,D
56,0,160.2,62.7,0.302,85,140,35.4,9.5,27,184,C
36,0,171.5,80.5,0.215,86,153,46.7,16.8,53,220,A
60,0,175.1,66.5,0.173,85,125,40.4,13.9,31,211,C
22,0,172.2,70.6,0.243,70,118,36.7,9.8,50,213,D
22,0,171.9,78.46,0.229,64,116,43.6,-9.3,46,219,D
37,0,174,75.2,0.185,82,142,39.7,20.5,50,224,B
21,1,158.1,53.6,0.2763524,70,115,18.9,12.4,17,116,D
21,0,170.4,74.3,0.195,82,157,45.6,12.7,54,194,B
60,1,158.6,62.7,0.346,80,137,29.3,18.4,12,132,B
27,1,168.5,64.2,0.262,76,108,25.2,23.1,18,164,D
59,1,156.3,60.5,0.336,79,130,29.6,22.4,23,135,A
47,1,157,54.1,0.268,72,117,25.1,18.2,25,157,B
21,1,161.3,50.6,0.235,69,127,27.5,29.4,39,175,A
51,0,177,68.7,0.183,84,140,39.3,11.3,35,220,B
48,0,171,66.2,0.173,99,144,48.8,16,49,225,B
49,0,170,66.2,0.18,82,130,39.5,20,39,156,C
41,1,158.1,51,0.217,86,127,23.1,28.6,46,165,A
24,1,159,45.5,0.245,85,135,28.5,22.9,57,197,A
35,0,178.4,79,0.154,73,127,52.7,14.7,68,260,A
26,1,156.7,56.3,0.328,78,123,19.7,22.9,28,130,C
35,0,178.5,78.4,0.138,81,136,51.5,17.1,64,237,A
25,0,171.2,65.1,0.118,67,127,45.1,22.2,54,239,A
30,0,176.4,71.7,0.179,68,130,53.4,24.3,56,210,B
27,0,175.4,86.4,0.198,76,135,47.6,20.6,48,213,B
41,0,166.7,65.7,0.215,90,151,49.6,18.7,54,242,A
50,1,158.4,57.2,0.32,69,134,21.1,18.6,17,136,C
22,0,175.8,72,0.304,75,115,34.6,19,54,188,C
56,0,173,70.9,0.195,83,135,47.9,11.1,44,162,B
46,1,159.1,52.2,0.272,84,127,22.9,17.9,30,136,D
44,0,180.5,79.5,0.217,87,127,42.3,10.8,33,196,C
25,1,162.2,71.5,0.413,75,124,24.9,7,5,120,D
25,1,156.3,48.6,0.265,73,138,22.8,29.8,41,155,A
59,0,170,59.1,0.15,71,115,28.3,8.6,15,162,D
30,0,178.4,82.5,0.3,97,139,39.3,1.9,42,200,D
24,0,176,67.2,0.108,81,120,47.7,17.2,55,242,A
39,0,168.8,70.9,0.255,83,128,33.7,5.4,33,201,D
27,0,170.3,74.6,0.22,98,151,47.9,14.5,53,170,B
33,0,172.8,78.8,0.193,87,146,59.8,19.7,59,228,A
28,1,163.6,52.4,0.203,72,118,31,23.5,23,130,C
28,1,166.2,59.7,0.219,72,118,32.1,15.6,38,165,B
35,0,179.2,64.7,0.129,88,128,49.7,22.5,46,239,A
34,0,177.8,76.4,0.289,82,130,41.1,5.3,38,194,C
35,0,184.7,84.18,0.163,70,120,48.8,15.3,56,229,A
34,0,173.2,73.77,0.195,80,120,50,18.1,59,218,B
25,0,164.3,61.18,0.22,78,145,43.3,18.6,47,209,C
32,0,169.2,68.7,0.152,80,120,48.3,21.1,64,254,B
21,1,169.1,56.1,0.226,77,120,26.3,31.3,24,162,C
22,0,183.5,76.9,0.157,86,143,40.9,22.8,56,253,A
22,1,156.9,46.9,0.23,98,155,20.5,16.5,38,155,B
24,0,172.1,64.5,0.168,88,154,40.2,21.7,63,201,B
27,0,178.2,75.1,0.159,59,129,49.2,16.7,55,229,A
21,1,164.4,48.1,0.169,63,112,26.5,29.4,41,215,A
46,1,164.1,49.1,0.305,59,117,21.2,4.3,16,150,D
29,1,162.2,51.7,0.292,83,118,29.7,23.7,44,183,A
23,1,162.7,51.7,0.19,76,110,32.6,21.4,59,200,D
51,0,177.9,67.2,0.158,63,112,36.6,13.7,25,183,D
28,0,184.8,84.6,0.172,83,123,52.5,11.7,56,257,B
23,1,164.7,44.3,0.267,80,130,22.3,12.5,25,130,C
30,0,178.3,93.5,0.273,81,129,57,16.1,47,222,A
25,1,160.1,51.7,0.307,71,126,25.7,21.1,47,159,A
28,0,172.7,69.8,0.276,81,149,46.5,10,48,185,C
22,0,178.3,73.2,0.234,93,132,42.7,11.7,46,208,C
51,0,167.7,72.7,0.29,90,148,36.3,6.1,37,180,D
24,1,165.1,49.9,0.193,70,108,31.8,21.6,50,204,A
27,1,160.3,47.8,0.195,60,111,27.3,28,37,173,A
61,1,153.2,62.2,0.37,71,111,25.7,3,0,58,D
30,0,169.5,71.9,0.206,72,125,45.9,13,66,235,B
42,0,180.2,73.3,0.204,95,140,53.7,26,41,211,C
22,0,180.3,91.7,0.321,75,134,28.6,-6.9,36,210,D
23,1,164.7,62.5,0.314,77,121,23.2,14.7,41,165,C
27,1,160.2,54.5,0.207,77,130,22.2,22.5,35,171,C
29,0,167.9,70.7,0.253,75,135,47.3,16.2,53,181,B
62,0,165.6,67.6,0.257,84,152,40.5,9.8,41,188,B
21,0,169.2,92.9,0.333,93,157,44.6,10.9,52,226,D
25,0,184.1,74.7,0.126,94,141,49.5,13,49,243,C
31,1,166.9,64.1,0.305,77,133,27.5,21.5,37,150,B
21,0,175,66.4,0.165,77,124,39.4,13,54,248,C
38,0,171.6,66.3,0.205,92,153,46,26.2,46,204,B
23,1,178.1,64.2,0.292,55,102,29.9,14.6,27,126,C
56,0,170.1,61.5,0.22,89,148,37.7,20.5,40,195,A
59,0,170.3,71,0.245,75,140,30.1,22,33,182,D
23,1,164.4,54.3,0.217,61,109,27,31.7,44,186,A
52,0,170,75.5,0.304,77,127,39.6,10.2,29,186,D
33,0,178,74.66,0.19,96,135,43.1,18.6,37,198,C
58,1,154.9,51.6,0.241,85,132,25.3,19.4,31,165,B
21,1,160.9,61.4,0.365,71,103,27.3,20.8,47,169,C
27,0,176,72.86,0.186,78,155,39.7,10.1,53,231,B
27,0,173.5,65.3,0.143,76,137,39.1,12.1,46,229,C
21,1,163,62.3,0.329,75,131,33.3,12.2,44,167,C
57,0,168.5,66,0.241,88,156,42.1,9.5,30,212,B
29,1,166.7,52.84,0.152,74,125,30.7,29.7,48,186,A
45,0,170,70,0.2,73,137,34.2,8.5,36,219,D
24,1,155.5,64.4,0.348,60,109,24.7,16.7,43,174,B
50,1,163.9,52.5,0.196,89,151,25.4,18,26,171,B
60,0,173,68.4,0.114,70,124,47.1,12.3,52,195,A
62,0,163.7,63.9,0.233,93,144,42.7,25,29,211,B
39,1,159.2,45.3,0.196,64,105,20.8,18.7,36,161,B
22,1,162.2,60.4,0.271,74,115,34.9,22.6,37,148,A
54,1,156.5,52.2,0.301,72,117,20.5,13.5,16,110,C
48,0,167.2,68.5,0.282,75,112,39.2,7,31,195,C
61,1,160.9,63.1,0.309,83,130,27.5,21.1,27,140,A
60,0,172.5,76,0.231,86,154,47.3,16,41,206,A
27,0,168.6,67.2,0.237,77,123,45,11.6,41,223,C
40,1,162.5,51.4,0.225,91,143,26.9,26.3,36,174,A
36,0,172.1,65.64,0.199,86,142,47.3,15.4,39,215,B
58,0,168.5,74.9,0.301,89,139,40.6,15.8,29,188,B
55,1,152.8,55.6,0.313,78,129,23.9,15.7,23,130,C
25,1,158.1,57.9,0.315,61,117,24.5,13.7,59,157,C
21,0,169.6,64.5,0.109,77,134,46.2,21.5,65,248,A
23,1,163.8,57.5,0.317,84,127,32.9,28.8,43,164,A
64,0,165.8,61.3,0.085,66,114,34.9,7.6,33,166,B
21,0,187.4,84.4,0.188,82,151,50.8,16.8,49,257,B
56,1,149.4,51.6,0.351,83,132,25.5,18.8,11,117,C
22,0,167.3,61.4,0.164,68,114,38.8,19.9,67,240,A
28,1,165.4,62,0.311,58,102,25,21.7,31,170,C
53,1,152.7,46.9,0.275,68,126,23.5,18.5,20,152,B
23,0,165.7,62.7,0.232,70,123,37.7,25.5,35,237,D
46,0,176.8,80.9,0.227,82,141,50.1,22.1,45,206,A
56,1,148.2,54.7,0.377,85,125,22.7,10.7,0,134,D
44,0,172,71,0.181,69,113,48.3,28.7,52,203,A
27,0,173.8,68.4,0.139,69,110,47.8,14.1,49,244,B
45,0,166.5,71.5,0.266,99,160,47.8,24.2,47,201,A
63,0,164.7,73.8,0.367,81,141,35.6,9,22,135,D
26,0,183.4,83.6,0.141,79,145,50.6,16,51,231,A
32,0,170.8,72.2,0.241,80,127,47.4,16.6,60,205,B
22,1,167,50.3,0.189,77,120,27.9,23.3,39,168,A
21,0,175,84.7,0.28,61,133,50.9,11.6,42,156,D
21,0,178.9,75.5,0.172,81,138,40.8,15.4,55,213,B
54,1,148,53.4,0.279,97,159,27.9,23,35,145,A
21,0,179,82.8,0.154,67,122,58.9,19.9,56,278,B
24,0,163.9,64.8,0.236,94,141,39.7,13.2,47,224,C
31,0,178,84.66,0.189,75,129,59.2,15.1,47,196,A
27,0,180.9,77.1,0.199,76,156,40.9,22,52,209,B
22,1,163.8,54.2,0.284,96,151,23.6,19.4,41,155,B
61,1,152.6,56.4,0.376,93,136,28.9,20.2,4,125,D
60,0,171.9,60.9,0.167,78,128,33.6,10.9,28,190,B
41,1,160,50,0.206,62,106,27.4,22.6,38,178,A
59,0,166.1,67.8,0.259,98,151,40.6,22.4,34,188,B
51,0,174.5,71.2,0.212,92,136,40.7,13,41,203,C
34,0,181.1,70.5,0.194,70,131,34.1,12.7,40,217,C
22,1,169.2,53.2,0.16,66,103,30,27.1,54,202,A
22,1,162.1,55.1,0.232,61,99,28.5,23.1,43,198,A
23,1,161.8,47.8,0.172,66,103,25.2,21.5,47,178,A
27,1,152.3,55.5,0.375,81,126,16.6,16.1,37,113,D
25,1,160.9,63.7,0.361,99,144,26.4,23.6,37,179,B
37,1,149.5,38.1,0.173,66,110,16.2,23,35,167,A
21,0,170,50.1,0.163,67,124,28.5,6.4,44,210,C
31,0,174,67.6,0.156,82,140,39.3,5.1,38,225,C
49,0,176.2,73.3,0.222,88,147,45,9.9,33,223,C
27,0,182.5,81,0.178,66,115,42,9.1,44,233,C
49,1,155.9,57,0.233,67,104,25.1,17.5,25,110,C
36,1,156.6,55,0.266,80,124,30.1,12.5,24,149,C
33,0,179.2,76.3,0.238,85,126,32,8.7,36,188,D
61,1,146.5,56.16,0.373,89,152,26.9,23.5,12,118,B
24,1,166.9,70,0.237,55,102,39.1,23.8,47,186,A
25,0,168.8,63.9,0.26,81,131,38.2,20.1,49,215,B
28,1,161.4,55.9,0.352,77,128,22.4,18.1,30,152,B
26,1,162.6,57.2,0.326,69,116,26.9,20.6,43,128,A
62,0,175,68,0.226,75,123,46,2.8,33,194,C
51,0,172.4,75.6,0.233,83,120,47.4,22.4,55,211,A
26,0,180.2,103.4,0.247,70,128,67.6,16.2,46,219,B
21,1,160.7,56.6,0.292,71,110,25.6,30.1,32,157,B
56,1,149,46.7,0.232,95,157,25,28,41,186,A
52,0,165.4,74.8,0.275,86,143,38.9,18.2,56,217,B
21,1,169.2,64.9,0.353,68,125,29.9,22.3,39,174,B
56,1,157.2,60.4,0.362,70,118,24.2,14.3,16,132,C
36,0,169.9,67.1,0.179,98,149,48.8,16.3,59,228,B
32,1,163.5,55.6,0.255,68,108,28.2,24.5,36,183,A
21,1,159.9,49.7,0.254,76,116,23.4,24.3,11,145,D
63,0,165.8,63.9,0.207,82,123,26.9,14.2,28,160,B
32,0,168,69.8,0.219,88,127,50.9,26.3,68,248,A
28,0,175.1,75.5,0.138,71,126,44.5,11.4,66,247,B
40,0,169.8,84.1,0.25,93,132,57.9,19.8,40,220,B
26,1,158.8,56.9,0.276,60,93,21.8,20.8,37,172,B
56,1,156.9,49.9,0.359,67,128,12.1,1.2,20,118,D
22,0,168.4,69.9,0.15,51,118,44,16.3,61,234,A
29,0,172.7,72.6,0.275,82,121,35,3.3,40,213,D
61,0,171.6,86.4,0.287,70,142,35.1,-2.4,12,162,D
54,1,162.9,51.4,0.294,82,122,19.5,20.5,24,134,C
56,0,168.8,66.4,0.238,91,143,34.3,20.2,35,186,C
36,0,173,72.7,0.192,91,149,45.9,7.8,46,204,C
24,0,167.5,65.66,0.191,98,154,45.3,18.3,44,241,C
59,1,145.7,51.6,0.414,99,154,24.8,20.1,12,122,C
23,1,158.2,47.9,0.304,75,116,21.6,10.9,26,131,C
41,0,179.3,73.4,0.18,99,150,43.3,17.3,47,246,B
35,0,169.9,61.7,0.222,85,136,38.1,14.3,37,216,C
30,0,163.7,65.5,0.236,84,116,43.5,14.5,42,230,B
44,1,167.8,63.8,0.243,63,117,29.1,14.8,43,170,C
28,0,170,74,0.28,83,130,37.7,6,50,193,D
22,0,169.5,65,0.201,60,110,38.1,16.2,40,151,D
21,0,187.9,74.7,0.2106,73,123,44.7,7.7,45,221,C
53,0,170,75.1,0.224,99,142,42.8,7.4,29,181,D
21,1,158.4,48.9,0.227,81,128,25,21.4,41,163,A
63,1,157.6,58.2,0.292,76,121,22.9,17.9,27,126,B
23,1,161.1,53,0.284,72,116,28.9,-4.4,22,143,D
62,0,174.7,71.9,0.236,74,130,41.2,16.6,40,205,A
32,0,179.7,90,0.293,96,151,49.7,1.5,50,216,D
38,0,172.3,71.6,0.155,65,111,47.4,6.2,47,230,C
24,0,180.3,80.2,0.247,77,127,64.3,19,57,235,A
23,0,183.3,79.4,0.198,79,136,48.9,23,48,199,C
63,0,172.4,71.66,0.189,79,152,43.1,15.8,38,173,A
27,0,178.8,73.38,0.078,75,126,49.6,21.5,54,223,A
59,1,158.2,54.34,0.296,74,133,25.1,28.6,42,148,A
36,1,166.5,53.7,0.259,84,130,27.4,18.9,40,186,A
34,1,167.5,65.8,0.26,61,115,31,20.5,50,174,B
23,0,180.4,90.5,0.268,70,120,46.1,4.5,42,185,D
21,1,158.8,49.7,0.284,84,139,15.2,24.2,28,174,D
24,0,177,89.9,0.189,80,117,56.8,12.7,54,232,C
55,0,170,75.5,0.206,67,114,45.4,12.5,40,216,B
43,0,169,68.6,0.124,80,120,45.7,20.2,55,239,A
22,1,159.3,54,0.213,66,108,23,27.2,33,189,B
46,0,173.9,69.4,0.178,88,138,43.9,14.5,46,237,A
24,0,176,77.5,0.247,75,114,35.6,9.3,38,200,D
56,1,164,57.6,0.232,95,127,24.4,23.6,27,149,A
28,0,171.4,76.8,0.251,84,130,47.8,23,41,217,D
53,1,160.4,59.3,0.203,57,102,22.5,-5,13,150,D
30,0,179.2,76.5,0.126,69,132,55.4,16.7,50,215,A
21,1,153,56.9,0.402,70,120,18.6,19.4,22,160,D
59,1,162,65.3,0.376,74,133,24.7,16.5,11,125,C
27,1,164.6,56.9,0.294,68,148,26.8,19.9,51,183,A
38,0,179.9,82.2,0.18,97,145,54.3,20,61,241,B
41,0,167.9,72.4,0.207,87,132,44.6,23.3,60,212,B
21,1,168.4,60.2,0.342,82,138,25.8,16.8,32,162,B
23,1,163.7,53.4,0.296,73,116,26.6,28,43,204,C
21,1,166.3,47.6,0.253,73,112,23.8,10.1,42,172,C
63,0,160.5,68.2,0.287,84,193,37.1,14.3,31,174,A
22,0,182.9,72.4,0.123,80,133,52.6,11.2,45,225,C
28,0,170.3,52.5,0.168,95,134,30.1,16.5,25,185,D
25,1,154,57.9,0.331,62,112,30.2,18.7,36,158,C
39,0,176.9,90.1,0.215,79,134,46.4,9.3,45,225,C
22,0,180.6,80,0.252,70,142,35.6,20.4,49,221,C
30,0,170.2,62.9,0.147,78,134,42.8,27.8,65,240,A
30,0,185.2,108.9,0.231,98,143,54,27.7,52,231,D
24,1,162.8,59.7,0.326,81,134,27.7,21.1,47,158,B
64,0,163.8,68.5,0.309,87,145,35.5,18.8,26,182,B
22,1,166,68.8,0.313,84,146,33.5,27.8,38,181,A
64,1,155.5,60,0.349,85,130,17,12.8,20,100,D
26,0,170.1,67.1,0.164,68,113,35.2,15.4,51,225,B
39,1,159.3,50.6,0.308,78,128,25.2,19.6,32,167,A
50,0,165.2,67,0.284,96,143,39,13.3,38,205,B
45,1,159.2,59.1,0.307,75,106,25,21.7,35,137,A
52,1,150.3,49.1,0.336,70,103,20.8,19.5,16,130,D
25,0,184,75.7,0.092,87,130,51.5,21.8,58,230,A
25,0,175.3,63.7,0.099,75,119,44.6,11.5,55,221,B
35,0,177.3,82.7,0.238,83,125,49,12.1,51,197,B
63,0,169.4,76.1,0.243,79,135,40.4,17.3,28,168,B
31,0,167,71.1,0.2,81,140,46.9,14.6,53,228,A
42,1,158.1,51,0.14,68,112,23.9,20.3,30,121,B
25,1,158.6,46.2,0.178,62,115,22.1,19.6,21,135,C
24,1,156.1,49.4,0.251,70,110,21.7,23.8,38,137,C
22,0,175.1,67.5,0.183,78,118,39.4,24.9,60,163,C
26,0,172.9,83.3,0.315,64,133,45.2,9.2,44,174,D
22,1,166,54.9,0.235,82,155,28.1,21.5,46,167,C
46,0,168,58.7,0.232,86,155,32.9,17.4,38,182,C
37,0,181.2,86,0.23,83,137,52.8,21.3,44,222,B
28,0,170,84.2,0.135,93,139,42.6,23.5,51,241,C
24,0,176.1,74.8,0.243,96,125,35.7,-12,1,200,D
27,0,170,75.9,0.344,82,132,35.2,-6.6,49,202,D
28,0,171,74.6,0.252,83,143,42.4,8,52,213,D
23,1,163.5,58.5,0.279,85,133,35.7,26.8,39,168,C
39,0,170.8,68.9,0.199,78,117,43.3,7.4,52,215,C
55,1,154.6,58.9,0.413,80,130,23.1,18.5,27,115,B
41,0,176.2,93.1,0.358,85,135,36.3,7.1,1,182,D
36,1,165.8,55.78,0.267,73,124,25.4,23.9,30,152,B
29,0,172.7,71.8,0.157,86,148,52.2,19.7,57,254,A
35,0,173.1,77.6,0.228,8,122,46.4,16.7,47,216,B
41,0,177,81.7,0.242,95,126,46.3,7.8,39,213,C
23,1,161.8,58.7,0.296,76,124,29,10.3,44,126,C
22,0,175.8,73.3,0.175,83,120,50.5,7.2,43,232,C
52,1,159.5,55.2,0.315,68,103,24.4,15,16,119,C
63,1,175.1,81.2,0.263,87,143,40.2,24.4,36,167,D
64,0,159.3,56.5,0.198,82,154,34.2,-1.4,16,144,D
41,0,175.7,81.2,0.22,80,117,43.7,14.3,42,199,B
22,1,158.5,49.3,0.27,37,77,27.1,21,59,178,B
21,1,170.5,67.8,0.307,54,102,29.7,9.8,39,166,D
44,0,177.4,87.9,0.259,95,155,48.7,5.2,28,214,D
50,1,157.3,51.1,0.291,70,118,21.6,20.5,33,164,A
26,0,180.8,69.26,0.136,80,120,44,1.5,53,249,D
53,0,167,65.7,0.237,99,153,33.7,14.2,32,185,C
29,0,185,85.8,0.236,92,129,51,17.2,55,231,B
47,0,177.7,87.7,0.285,82,129,40.4,12.2,44,204,D
25,0,179.4,74.3,0.124,92,139,49.1,20.9,58,270,A
40,1,159.1,50.4,0.166,67,115,28.7,25.7,32,162,A
51,1,161.2,47.8,0.171,75,123,23.9,14.1,29,154,C
40,1,163.3,47.7,0.161,70,122,27.9,27.6,32,185,A
27,1,169.8,64.9,0.269,83,132,31.3,12.3,49,159,C
24,0,179.4,78.1,0.239,76,121,37.9,-13.1,37,217,D
28,0,171.4,68.3,0.126,62,130,35.9,12.3,52,228,C
43,0,174.6,104.9,0.362,97,150,32.7,-1.3,22,173,D
54,0,176,68.9,0.189,82,149,40.2,10.5,44,182,B
23,1,167.2,54.8,0.245,80,110,29,19.5,39,175,C
28,0,175.4,69.9,0.149,82,143,45.9,23.8,58,230,B
29,0,170,66,0.206,95,145,39.6,6,38,185,C
54,0,163,75.5,0.231,77,138,46.7,3.3,42,207,D
23,0,178.6,83.9,0.179,76,123,48.5,16.6,43,243,C
35,1,158.3,70.1,0.328,72,124,29.1,21.4,41,149,D
29,1,161.4,61.8,0.298,57,118,24.6,18.7,41,168,B
37,0,174.1,80.2,0.282,66,122,35.6,-7.7,40,193,D
29,0,178.8,72.9,0.137,62,128,51.1,8.1,51,243,C
45,0,160,59.3,0.202,78,118,31,11.5,40,220,B
22,1,159.1,51.3,0.291,73,111,21.3,7.9,24,154,D
47,0,174.3,78.1,0.228,83,142,46.7,16.8,52,231,C
44,0,176.9,85.2,0.247,86,143,50.4,2.9,44,192,D
26,1,161.9,53.9,0.207,68,110,30.3,26,40,173,A
32,0,165.9,74.8,0.243,91,150,42.2,17.1,54,229,A
48,1,161.5,49.4,0.224,59,112,19.9,11,37,157,C
56,0,162.3,56.68,0.159,91,141,34.5,9,23,138,D
26,0,180.6,73.4,0.175,99,152,41,11.2,44,236,D
22,0,177.1,71.4,0.181,79,138,51,11.6,57,158,B
43,1,166.2,51.8,0.165,91,141,35.9,15.8,40,165,B
37,1,170,63,0.259,58,112,33.4,20.4,35,190,A
33,1,162.7,53.9,0.334,73,133,27.6,30.4,42,175,A
48,0,168.6,71,0.22,98,147,49.7,7,39,225,C
22,0,175.8,66.6,0.147,71,128,34.2,2.9,52,240,D
27,0,173.9,79,0.27,80,139,31.6,0.2,39,206,D
38,0,171.4,71.7,0.172,90,150,42.5,21.3,54,216,A
62,0,164.5,64.02,0.178,65,152,41,13,26,205,B
31,0,176.5,69.3,0.127,64,106,46.6,10.6,58,253,B
22,0,175,69.8,0.15,63,128,50.3,26.8,60,276,A
29,0,179,79.1,0.05,62,118,53.9,10.3,46,209,B
22,0,170,73.6,0.239,65,102,36.5,7,57,217,C
50,1,153.9,43.8,0.232,65,121,22,18.5,19,138,B
32,0,176.3,71.8,0.212,72,126,45.3,15.4,45,209,B
46,0,163.5,71.1,0.286,85,144,37.9,14.9,35,204,D
31,0,178,78.2,0.194,79,134,45.7,11.9,48,218,B
22,0,179.6,70,0.131,74,127,49.7,16.7,51,248,B
28,0,176.2,83.7,0.205,76,109,46.2,7.8,46,211,C
31,0,173.7,83.8,0.296,99,128,39.3,27.5,60,204,D
59,0,165.7,57.6,0.136,60,124,33,13.5,41,186,A
34,1,162.1,79.3,0.435,96,155,24.6,20.1,13,135,D
37,0,170.8,60.5,0.115,79,117,42.8,14.1,35,233,C
64,1,153.2,50.1,0.282,98,159,23.3,26,21,115,B
63,1,147.4,52.1,0.311,77,142,20,20.2,23,87,C
25,1,160,53.1,0.261,79,115,18.1,34.8,33,108,C
57,1,159.2,68.6,0.321,91,154,30.2,20.6,0,133,D
41,0,177.1,74.9,0.17,73,118,47.8,17.8,50,240,A
27,0,179.5,87,0.195,85,139,46.3,7.1,57,212,C
48,0,166.9,69.5,0.268,95,148,40,11.9,43,189,B
26,1,157.6,50.1,0.239,63,111,24.2,22,52,160,A
30,0,179.5,90.8,0.183,79,130,56.9,21.3,51,230,A
34,0,175,71,0.197,87,157,45.9,20.5,57,233,B
23,0,182.7,67.6,0.116,91,150,45.4,-11,39,234,D
30,0,185,77.9,0.21,89,141,42.8,15.6,44,195,C
25,0,175,72.6,0.22,88,120,49.8,21.2,58,226,B
25,0,174.3,79.68,0.205,84,142,54.7,28.5,38,217,C
35,0,184.6,79,0.226,85,131,45.5,6.7,45,194,C
54,1,162.4,56.2,0.237,96,145,28,16.6,19,143,B
50,1,154.6,53.2,0.251,69,114,27.9,20.2,23,158,B
