Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating
172-42-8274,B,Mandalay,Normal,Female,Electronic accessories,38.27,2,3.827,80.367,03/02/2019,18:18,Credit card,5.8
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22,5,3.305,69.405,03/02/2019,19:26,Cash,4.3
636-98-3364,B,Mandalay,Member,Female,Electronic accessories,26.26,3,3.939,82.719,03/02/2019,12:36,Ewallet,6.3
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,03/02/2019,19:42,Credit card,6.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,03/02/2019,13:01,Credit card,7.1
607-76-6216,C,Naypyitaw,Member,Female,Fashion accessories,92.49,5,23.1225,485.5725,03/02/2019,16:35,Credit card,8.6
720-72-2436,A,Yangon,Normal,Male,Food and beverages,66.52,4,13.304,279.384,03/02/2019,18:14,Ewallet,6.9
576-31-4774,B,Mandalay,Normal,Female,Health and beauty,73.41,3,11.0115,231.2415,03/02/2019,13:10,Ewallet,4
725-54-0677,C,Naypyitaw,Member,Female,Health and beauty,85.6,7,29.96,629.16,03/02/2019,13:50,Cash,5.3
303-96-2227,B,Mandalay,Normal,Female,Home and lifestyle,97.38,10,48.69,1022.49,03/02/2019,17:16,Ewallet,4.4
565-67-6697,B,Mandalay,Member,Male,Home and lifestyle,27,9,12.15,255.15,03/02/2019,14:16,Cash,4.8
640-48-5028,B,Mandalay,Member,Female,Home and lifestyle,88.39,9,39.7755,835.2855,03/02/2019,12:40,Cash,6.3
408-26-9866,C,Naypyitaw,Normal,Female,Sports and travel,73.98,7,25.893,543.753,03/02/2019,16:42,Ewallet,4.1
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,03/02/2019,17:36,Ewallet,6
825-94-5922,B,Mandalay,Normal,Male,Sports and travel,25.31,2,2.531,53.151,03/02/2019,19:26,Ewallet,7.2
860-73-6466,A,Yangon,Member,Female,Sports and travel,39.47,2,3.947,82.887,03/02/2019,16:16,Credit card,5
878-30-2331,C,Naypyitaw,Member,Female,Sports and travel,54.55,10,27.275,572.775,03/02/2019,11:22,Credit card,7.1
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,1.439,30.219,03/02/2019,19:44,Credit card,7.2
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,01/03/2019,11:36,Ewallet,5.5
343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,75.88,1,3.794,79.674,01/03/2019,10:30,Credit card,7.1
552-44-5977,B,Mandalay,Member,Male,Health and beauty,62,8,24.8,520.8,01/03/2019,19:08,Credit card,6.2
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,44.352,01/03/2019,19:17,Cash,9.7
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,01/03/2019,12:02,Ewallet,7.9
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.7725,352.2225,01/03/2019,16:47,Credit card,9.1
501-61-1753,B,Mandalay,Normal,Female,Home and lifestyle,63.15,6,18.945,397.845,01/03/2019,20:24,Ewallet,9.8
875-31-8302,B,Mandalay,Normal,Male,Sports and travel,93.38,1,4.669,98.049,01/03/2019,13:07,Cash,9.6
566-71-1091,A,Yangon,Normal,Female,Fashion accessories,77.02,5,19.255,404.355,02/03/2019,15:59,Cash,5.5
676-10-2200,B,Mandalay,Member,Female,Fashion accessories,53.78,1,2.689,56.469,02/03/2019,20:13,Ewallet,4.7
190-59-3964,B,Mandalay,Member,Male,Food and beverages,47.16,5,11.79,247.59,02/03/2019,14:35,Credit card,6
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,02/03/2019,10:19,Cash,9.5
443-59-0061,A,Yangon,Member,Male,Food and beverages,67.45,10,33.725,708.225,02/03/2019,11:25,Ewallet,4.2
585-86-8361,A,Yangon,Normal,Female,Food and beverages,27.28,5,6.82,143.22,02/03/2019,10:31,Credit card,8.6
639-76-1242,C,Naypyitaw,Normal,Male,Food and beverages,40.52,5,10.13,212.73,02/03/2019,15:19,Cash,4.5
430-60-3493,A,Yangon,Member,Female,Home and lifestyle,94.88,7,33.208,697.368,02/03/2019,14:38,Cash,4.2
742-04-5161,A,Yangon,Member,Male,Home and lifestyle,72.78,10,36.39,764.19,02/03/2019,17:24,Cash,7.3
277-63-2961,B,Mandalay,Member,Male,Sports and travel,73.97,1,3.6985,77.6685,02/03/2019,15:53,Credit card,5.4
322-02-2271,B,Mandalay,Normal,Female,Sports and travel,42.97,3,6.4455,135.3555,02/03/2019,11:46,Cash,9.3
326-71-2155,C,Naypyitaw,Normal,Female,Sports and travel,73.95,4,14.79,310.59,02/03/2019,10:02,Cash,6.1
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,02/03/2019,13:40,Ewallet,10
718-57-9773,C,Naypyitaw,Normal,Female,Sports and travel,49.33,10,24.665,517.965,02/03/2019,16:40,Credit card,9.4
211-05-0490,C,Naypyitaw,Member,Female,Electronic accessories,51.92,5,12.98,272.58,03/03/2019,13:42,Cash,7.5
324-41-6833,C,Naypyitaw,Member,Female,Electronic accessories,30.2,8,12.08,253.68,03/03/2019,19:30,Ewallet,5.1
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,03/03/2019,19:17,Cash,6.3
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,03/03/2019,14:30,Cash,9.2
651-96-5970,A,Yangon,Normal,Female,Fashion accessories,46.41,1,2.3205,48.7305,03/03/2019,20:06,Credit card,4
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.228,03/03/2019,17:01,Credit card,9.6
234-03-4040,B,Mandalay,Member,Female,Food and beverages,73.05,10,36.525,767.025,03/03/2019,12:25,Credit card,8.7
302-15-2162,C,Naypyitaw,Member,Female,Health and beauty,46.53,6,13.959,293.139,03/03/2019,10:54,Credit card,4.3
568-88-3448,A,Yangon,Normal,Female,Health and beauty,25,1,1.25,26.25,03/03/2019,15:09,Ewallet,5.5
610-46-4100,A,Yangon,Normal,Female,Health and beauty,28.95,7,10.1325,212.7825,03/03/2019,20:31,Credit card,6
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,03/03/2019,19:00,Ewallet,7.5
468-99-7231,C,Naypyitaw,Normal,Female,Home and lifestyle,44.01,8,17.604,369.684,03/03/2019,17:36,Cash,8.8
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,03/03/2019,13:23,Credit card,7.4
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,03/03/2019,13:01,Cash,7.7
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,01/04/2019,19:40,Cash,6.1
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,01/04/2019,18:19,Credit card,9.7
725-32-9708,B,Mandalay,Member,Female,Fashion accessories,68.71,4,13.742,288.582,01/04/2019,19:01,Cash,4.1
132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97,5,5.2425,110.0925,01/04/2019,13:21,Cash,7.8
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,01/04/2019,13:34,Ewallet,7
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.963,146.223,01/04/2019,13:24,Credit card,4.4
404-91-5964,A,Yangon,Normal,Male,Electronic accessories,74.58,7,26.103,548.163,02/04/2019,16:09,Credit card,9
441-94-7118,A,Yangon,Member,Male,Electronic accessories,71.95,1,3.5975,75.5475,02/04/2019,12:14,Cash,7.3
745-71-3520,A,Yangon,Member,Female,Electronic accessories,25.22,7,8.827,185.367,02/04/2019,10:23,Cash,8.2
198-66-9832,B,Mandalay,Member,Female,Fashion accessories,72.04,2,7.204,151.284,02/04/2019,19:38,Cash,9.5
518-17-2983,A,Yangon,Normal,Female,Fashion accessories,48.63,4,9.726,204.246,02/04/2019,15:44,Ewallet,7.6
151-33-7434,B,Mandalay,Normal,Female,Food and beverages,67.77,1,3.3885,71.1585,02/04/2019,20:43,Credit card,6.5
434-35-9162,B,Mandalay,Member,Male,Food and beverages,23.34,4,4.668,98.028,02/04/2019,18:53,Ewallet,7.4
268-20-3585,C,Naypyitaw,Normal,Female,Health and beauty,13.85,9,6.2325,130.8825,02/04/2019,12:50,Ewallet,6
236-86-3015,C,Naypyitaw,Member,Male,Home and lifestyle,13.98,1,0.699,14.679,02/04/2019,13:38,Ewallet,9.8
627-95-3243,B,Mandalay,Member,Female,Home and lifestyle,77.68,9,34.956,734.076,02/04/2019,13:21,Ewallet,9.8
695-28-6250,A,Yangon,Normal,Female,Sports and travel,43.06,5,10.765,226.065,02/04/2019,16:38,Ewallet,7.7
320-49-6392,C,Naypyitaw,Normal,Female,Electronic accessories,30.24,1,1.512,31.752,03/04/2019,15:44,Cash,8.4
346-12-3257,B,Mandalay,Member,Male,Electronic accessories,19.24,9,8.658,181.818,03/04/2019,16:28,Cash,8
759-29-9521,A,Yangon,Member,Female,Fashion accessories,48.96,9,22.032,462.672,03/04/2019,11:27,Cash,8
221-25-5073,A,Yangon,Normal,Female,Food and beverages,74.66,4,14.932,313.572,03/04/2019,10:39,Cash,8.5
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,03/04/2019,20:39,Cash,7.6
227-50-3718,A,Yangon,Normal,Female,Health and beauty,14.62,5,3.655,76.755,03/04/2019,12:23,Cash,4.4
276-75-6884,A,Yangon,Normal,Female,Health and beauty,68.71,3,10.3065,216.4365,03/04/2019,10:05,Cash,8.7
667-92-0055,A,Yangon,Member,Female,Health and beauty,99.83,6,29.949,628.929,03/04/2019,15:02,Ewallet,8.5
689-05-1884,A,Yangon,Member,Female,Health and beauty,48.63,10,24.315,510.615,03/04/2019,12:44,Cash,8.8
256-08-8343,A,Yangon,Normal,Female,Home and lifestyle,56.53,4,11.306,237.426,03/04/2019,19:48,Ewallet,5.5
558-60-5016,A,Yangon,Normal,Female,Home and lifestyle,33.3,9,14.985,314.685,03/04/2019,15:27,Ewallet,7.2
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,03/04/2019,11:19,Credit card,6.7
489-82-1237,A,Yangon,Normal,Female,Electronic accessories,93.88,7,32.858,690.018,01/05/2019,11:51,Credit card,7.3
339-12-4827,B,Mandalay,Member,Female,Fashion accessories,73.96,1,3.698,77.658,01/05/2019,11:32,Credit card,5
573-98-8548,C,Naypyitaw,Member,Female,Fashion accessories,31.9,1,1.595,33.495,01/05/2019,12:40,Ewallet,9.1
628-34-3388,C,Naypyitaw,Normal,Female,Fashion accessories,27.38,6,8.214,172.494,01/05/2019,20:54,Credit card,7.9
801-88-0346,C,Naypyitaw,Normal,Female,Fashion accessories,76.06,3,11.409,239.589,01/05/2019,20:30,Credit card,9.8
841-18-8232,B,Mandalay,Normal,Female,Food and beverages,71.2,1,3.56,74.76,01/05/2019,20:40,Credit card,9.2
433-08-7822,C,Naypyitaw,Normal,Female,Health and beauty,78.89,7,27.6115,579.8415,01/05/2019,19:48,Ewallet,7.5
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,01/05/2019,13:08,Ewallet,9.1
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.108,01/05/2019,16:05,Credit card,4.4
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.7275,225.2775,01/05/2019,17:29,Ewallet,6.1
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,01/05/2019,11:25,Cash,4.2
843-01-4703,B,Mandalay,Member,Female,Home and lifestyle,35.38,9,15.921,334.341,01/05/2019,19:50,Credit card,9.6
324-92-3863,A,Yangon,Member,Male,Electronic accessories,20.89,2,2.089,43.869,02/05/2019,18:45,Cash,9.8
181-94-6432,C,Naypyitaw,Member,Female,Fashion accessories,69.33,2,6.933,145.593,02/05/2019,19:05,Ewallet,9.7
307-04-2070,A,Yangon,Member,Female,Fashion accessories,30.62,1,1.531,32.151,02/05/2019,14:14,Credit card,4.1
325-89-4209,A,Yangon,Member,Male,Food and beverages,87.9,1,4.395,92.295,02/05/2019,19:42,Ewallet,6.7
374-17-3652,B,Mandalay,Member,Female,Food and beverages,42.82,9,19.269,404.649,02/05/2019,15:26,Credit card,8.9
409-49-6995,C,Naypyitaw,Member,Female,Food and beverages,47.27,6,14.181,297.801,02/05/2019,10:17,Cash,8.8
210-57-1719,B,Mandalay,Normal,Female,Health and beauty,58.24,9,26.208,550.368,02/05/2019,12:34,Cash,9.7
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,02/05/2019,10:41,Credit card,7.8
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,02/05/2019,19:57,Cash,9.1
729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6,7.773,163.233,02/05/2019,10:16,Ewallet,8.7
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,02/05/2019,11:32,Ewallet,4.6
880-35-0356,A,Yangon,Member,Female,Sports and travel,75.2,3,11.28,236.88,02/05/2019,11:51,Ewallet,4.8
655-07-2265,A,Yangon,Normal,Male,Electronic accessories,78.31,3,11.7465,246.6765,03/05/2019,16:38,Ewallet,5.4
291-32-1427,B,Mandalay,Member,Female,Fashion accessories,21.94,5,5.485,115.185,03/05/2019,12:29,Ewallet,5.3
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,44.22,5,11.055,232.155,03/05/2019,17:07,Credit card,8.6
848-42-2560,A,Yangon,Normal,Female,Fashion accessories,81.91,2,8.191,172.011,03/05/2019,17:43,Cash,7.8
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,03/05/2019,18:17,Ewallet,4
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,03/05/2019,16:24,Ewallet,6.6
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,2.712,56.952,03/05/2019,19:46,Ewallet,8
102-77-2261,C,Naypyitaw,Member,Female,Health and beauty,65.31,7,22.8585,480.0285,03/05/2019,18:02,Credit card,4.2
371-85-5789,B,Mandalay,Normal,Female,Health and beauty,87.98,3,13.197,277.137,03/05/2019,10:40,Ewallet,5.1
433-75-6987,B,Mandalay,Member,Female,Health and beauty,55.97,7,19.5895,411.3795,03/05/2019,19:06,Ewallet,8.9
608-04-3797,B,Mandalay,Member,Female,Health and beauty,25.32,8,10.128,212.688,03/05/2019,20:24,Ewallet,8.7
793-10-3222,B,Mandalay,Member,Female,Health and beauty,41.06,6,12.318,258.678,03/05/2019,13:30,Credit card,8.3
148-82-2527,C,Naypyitaw,Member,Female,Home and lifestyle,12.12,10,6.06,127.26,03/05/2019,13:44,Credit card,8.4
593-14-4239,B,Mandalay,Normal,Female,Home and lifestyle,95.46,8,38.184,801.864,03/05/2019,19:40,Ewallet,4.7
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,03/05/2019,18:14,Cash,7.4
174-64-0215,B,Mandalay,Normal,Male,Sports and travel,69.74,10,34.87,732.27,03/05/2019,17:49,Credit card,8.9
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,03/05/2019,14:31,Ewallet,4
834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories,81.68,4,16.336,343.056,01/06/2019,12:12,Cash,9.1
846-10-0341,A,Yangon,Normal,Female,Fashion accessories,42.57,7,14.8995,312.8895,01/06/2019,11:51,Cash,6.8
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,01/06/2019,12:46,Credit card,9.6
662-72-2873,A,Yangon,Normal,Female,Food and beverages,40.94,5,10.235,214.935,01/06/2019,13:58,Ewallet,9.9
729-06-2010,B,Mandalay,Member,Female,Health and beauty,80.47,9,36.2115,760.4415,01/06/2019,11:18,Cash,9.2
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,01/06/2019,11:23,Cash,8.9
826-58-8051,B,Mandalay,Normal,Male,Home and lifestyle,62.19,4,12.438,261.198,01/06/2019,19:46,Ewallet,4.3
490-29-1201,A,Yangon,Normal,Male,Sports and travel,15.34,1,0.767,16.107,01/06/2019,11:09,Cash,6.5
852-82-2749,A,Yangon,Normal,Male,Sports and travel,64.59,4,12.918,271.278,01/06/2019,13:35,Ewallet,9.3
811-35-1094,B,Mandalay,Member,Male,Electronic accessories,50.45,6,15.135,317.835,02/06/2019,15:16,Credit card,8.9
857-67-9057,B,Mandalay,Normal,Male,Electronic accessories,22.95,10,11.475,240.975,02/06/2019,19:20,Ewallet,8.2
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,02/06/2019,18:07,Ewallet,4.5
595-86-2894,C,Naypyitaw,Member,Female,Fashion accessories,96.98,4,19.396,407.316,02/06/2019,17:20,Ewallet,9.4
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,02/06/2019,10:42,Ewallet,7.5
471-06-8611,C,Naypyitaw,Normal,Female,Food and beverages,52.42,1,2.621,55.041,02/06/2019,10:22,Credit card,6.3
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,02/06/2019,15:47,Ewallet,4.1
149-14-0304,C,Naypyitaw,Member,Female,Health and beauty,28.5,8,11.4,239.4,02/06/2019,14:24,Cash,6.6
258-92-7466,A,Yangon,Normal,Female,Health and beauty,35.68,5,8.92,187.32,02/06/2019,18:33,Credit card,6.6
512-91-0811,C,Naypyitaw,Normal,Female,Health and beauty,89.75,1,4.4875,94.2375,02/06/2019,20:05,Credit card,6.6
875-46-5808,B,Mandalay,Member,Female,Health and beauty,25.9,10,12.95,271.95,02/06/2019,14:51,Ewallet,8.7
373-88-1424,C,Naypyitaw,Member,Male,Home and lifestyle,35.81,5,8.9525,188.0025,02/06/2019,18:44,Ewallet,7.9
609-81-8548,A,Yangon,Member,Female,Home and lifestyle,37.44,6,11.232,235.872,02/06/2019,13:55,Credit card,5.9
254-31-0042,A,Yangon,Member,Male,Electronic accessories,21.5,9,9.675,203.175,03/06/2019,12:46,Credit card,7.8
715-20-1673,B,Mandalay,Normal,Male,Electronic accessories,28.38,5,7.095,148.995,03/06/2019,20:57,Cash,9.4
883-69-1285,B,Mandalay,Member,Female,Fashion accessories,49.92,2,4.992,104.832,03/06/2019,11:55,Credit card,7
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7,21.728,456.288,03/06/2019,13:46,Ewallet,5.4
885-17-6250,A,Yangon,Normal,Female,Health and beauty,79.74,1,3.987,83.727,03/06/2019,10:36,Ewallet,7.3
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,03/06/2019,15:07,Credit card,6.2
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle,37,1,1.85,38.85,03/06/2019,13:29,Credit card,7.9
149-15-7606,B,Mandalay,Member,Male,Sports and travel,37.32,9,16.794,352.674,03/06/2019,15:31,Ewallet,5.1
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,03/06/2019,12:27,Credit card,8.6
783-09-1637,B,Mandalay,Normal,Male,Sports and travel,67.43,5,16.8575,354.0075,03/06/2019,18:13,Ewallet,6.3
802-70-5316,A,Yangon,Member,Male,Sports and travel,92.13,6,27.639,580.419,03/06/2019,20:34,Cash,8.3
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,326.424,01/07/2019,16:11,Credit card,8.8
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,01/07/2019,15:01,Ewallet,9.9
566-19-5475,B,Mandalay,Normal,Female,Fashion accessories,47.97,7,16.7895,352.5795,01/07/2019,20:52,Cash,6.2
390-31-6381,C,Naypyitaw,Normal,Male,Food and beverages,27.22,3,4.083,85.743,01/07/2019,12:37,Cash,7.3
889-04-9723,B,Mandalay,Member,Female,Food and beverages,89.14,4,17.828,374.388,01/07/2019,12:20,Credit card,7.8
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,01/07/2019,11:44,Credit card,8.8
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,01/07/2019,17:36,Cash,7.1
232-16-2483,C,Naypyitaw,Member,Male,Sports and travel,68.12,1,3.406,71.526,01/07/2019,12:28,Ewallet,6.8
541-48-8554,A,Yangon,Normal,Male,Sports and travel,60.95,9,27.4275,575.9775,01/07/2019,12:08,Credit card,6
114-35-5271,B,Mandalay,Normal,Female,Electronic accessories,57.91,8,23.164,486.444,02/07/2019,15:06,Cash,8.1
380-94-4661,C,Naypyitaw,Member,Male,Electronic accessories,65.94,4,13.188,276.948,02/07/2019,13:05,Credit card,6.9
